id,"recipe","ingredient",amount
167,"Cucumber Salad","onions",1
168,"Sweet Sour Eggs","onions",1
169,"French Potato Salad","cornichons",0.5
170,"French Potato Salad","vivaldi potatoes",2
171,"French Potato Salad","shallots",1
172,"French Potato Salad","capers",0.5
173,"French Potato Salad","radishes",1
174,"Vignole","artichokes",8
175,"Vignole","shelled peas",1
176,"Vignole","broad beans",1
177,"Vignole","red onions",1
178,"Brown Rice Bowl with Carrots, Kale and Eggs","carrots",5
179,"Brown Rice Bowl with Carrots, Kale and Eggs","kale",1
180,"Brown Rice Bowl with Carrots, Kale and Eggs","shallots",1
181,"Brown Rice Bowl with Carrots, Kale and Eggs","eggs",4
182,"Brown Rice Bowl with Carrots, Kale and Eggs","brown rice",0.25
183,"Fideos","onions",1
184,"Fideos","vermicelli",0.5
185,"Fideos","canned tomatoes",1
186,"Fideos","chick peas",1
187,"Fideos","eggs",2
188,"Fideos","lemons",0.5
189,"Fish Tagine","lemons",5
190,"Fish Tagine","onions",1
191,"Fish Tagine","canned tomatoes",1
192,"Fish Tagine","carrots",1
193,"Ramen","oyster mushrooms",0.33
194,"White Bean and Mushroom Gratin","sherry",0.1
195,"Ramen","chillies",2
196,"Ramen","eggs",2
197,"Ramen","scallions",0.5
198,"Ramen","ginger",1
199,"Vignole","prosciutto",1
200,"Fish Tagine","haddock",1
201,"Fish Tagine","cilantro",0.5
202,"Fish Tagine","green peppers",1
203,"Fish Tagine","green olives",1
204,"Salade Lyonnaise","eggs",4
205,"Salade Lyonnaise","pancetta",1
206,"Brown Rice and Salmon Bowl","scallions",0.5
207,"Brown Rice and Salmon Bowl","ginger",1
208,"Brown Rice and Salmon Bowl","cucumbers",1
209,"Brown Rice and Salmon Bowl","brown rice",0.25
210,"Brown Rice and Salmon Bowl","shiitake mushrooms",0.5
211,"Brown Rice and Salmon Bowl","salmon",0.5
212,"Spring Risotto","shelled peas",1
213,"Spring Risotto","artichokes",5
214,"Spring Risotto","feta cheese",1
215,"Spring Risotto","arborio rice",1
216,"Spring Risotto","broad beans",0.5
